column_name,mean,std
StreetWidt,3.227499012809193,1.0311881813591153
SegCount,0.8106325965776894,0.2798544564548618
Number_Tra,0.9875979126033686,0.2962506944852146
SHAPE_Leng,5.147925289437379,1.0263142735448285
Easements,0.007065565498126305,0.07638534036790419
BldgArea,7.813611684572424,2.441270174789509
ComArea,0.17734368965687866,0.5073099180709918
ResArea,0.4852911051630951,0.3521459515227549
OfficeArea,0.040584230751815116,0.28081224267541305
RetailArea,0.08578515539894276,0.35528576364957826
GarageArea,0.01320257603221006,0.1597468216575049
StrgeArea,0.01066152407213947,0.15640347249925224
FactryArea,0.009453731736971116,0.13599191094150986
OtherArea,0.02841409269080406,0.20358042708954785
NumBldgs,0.752511157412213,0.30736123586176706
NumFloors,1.2175714385333212,0.5460949656803674
LotArea,8.182490335359157,1.1641098253817943
LotFront,3.5775109742845665,0.8339584924196608
LotDepth,4.605172051720876,0.5617126440237424
BldgFront,3.1029998794025766,1.0985601220187018
BldgDepth,3.694982145437907,1.1789567518691917
AssessLand,10.487320444166144,2.0417532985121567
AssessTot,11.991372393675183,2.2080504050517664
ExemptTot,3.4421817159897072,5.039953095910481
BuiltFAR,0.8343260934782382,0.5491266497520864
ResidFAR,0.9599266197818396,0.5731436518219043
CommFAR,0.25216328413925343,0.6081192401541503
FacilFAR,1.3035721997340133,0.4967566348399731
UnitsRes,0.5511319226915201,0.25404424403328857
